title,aliases,year,month,category,ep,tid,replies,views,post_time,votes1,votes2,votes3,votes4,votes5,message,score,standard_deviation
超时空辉夜姬！,,2026,1,WEB,1,2272992,10,1099,2026-1-22 17:39,117,23,9,3,0,,167.1053,0.6764
"我怎么可能成为你的恋人,不行不行!(※不是不可能!?)~再次闪耀!~",,2025,12,TV,5,2271239,0,171,2026-1-1 02:36,15,1,1,0,2,,142.1053,1.2697
百米。,,2025,9,MOV,1,2271176,1,181,2025-12-31 11:49,2,3,3,2,0,,50.0000,1.0247
辉夜大小姐想让我告白 迈向大人的阶梯,,2025,12,TV,1,2270987,0,183,2025-12-31 21:56,19,3,0,1,1,,158.3333,0.9965
这里是充满笑容的职场。,,2025,10,TV,13,2270984,1,117,2025-12-29 15:08,10,7,0,0,3,,105.0000,1.3592
不擅吸血的吸血鬼,,2025,10,TV,12,2270983,0,30,2025-12-29 15:06,0,0,1,2,0,,-66.6667,0.4714
小手指同学请别乱摸,,2025,10,TV,12,2270982,1,51,2025-12-29 15:04,1,0,2,1,1,,-20.0000,1.3266
一拳超人 第三季,,2025,10,TV,12,2270953,2,140,2025-12-29 10:17,0,1,1,2,9,,-146.1538,0.9295
双人单身露营,,2025,7,TV,24,2270920,0,36,2025-12-28 20:46,0,0,1,1,0,,-50.0000,0.5000
无职英雄～技能什么的毫无用处～,,2025,10,TV,12,2270918,0,52,2025-12-28 20:41,0,0,2,2,3,,-114.2857,0.8330
差点在迷宫深处被信任的伙伴杀掉，但靠着天赐技能“无限扭蛋”获...,,2025,10,TV,12,2270916,0,56,2025-12-28 20:35,0,0,5,1,2,,-62.5000,0.8570
间谍过家家 第三季,,2025,10,TV,13,2270888,0,101,2025-12-28 15:01,2,10,1,1,1,,73.3333,0.9978
转生恶女的黑历史,,2025,10,TV,12,2270886,0,30,2025-12-28 14:46,0,1,2,1,0,,0.0000,0.7071
渡君的XX即将崩坏,,2025,7,TV,26,2270885,0,32,2025-12-28 14:42,0,0,0,0,2,,-200.0000,0.0000
变身圣诞老人,,2025,10,TV,12,2270669,0,67,2025-12-26 03:18,0,0,2,2,1,,-80.0000,0.7483
绝妙舞步,,2025,10,TV,12,2270668,0,94,2025-12-26 03:14,1,4,0,2,2,,0.0000,1.4142
小林家的龙女仆：害怕寂寞的龙,,2025,6,MOV,1,2270667,0,115,2025-12-26 03:08,1,1,9,2,1,,-7.1429,0.8835
对我垂涎欲滴的非人少女,,2025,10,TV,13,2270666,0,151,2025-12-26 02:54,13,5,2,2,4,,80.7692,1.4941
机械女仆玛丽,,2025,10,TV,12,2270663,0,54,2025-12-26 00:41,0,1,2,1,1,,-40.0000,1.0198
